week,user_id,channel,is_purchased,gmv
1,7,bloggers,0,0
1,235,social_media,1,100
1,233,social_media,0,0
1,230,bloggers,0,0
1,220,bloggers,0,0
1,219,context_ads,1,10
1,209,context_ads,1,100
1,206,context_ads,0,0
1,201,context_ads,0,0
1,197,mobile_ads,1,10
1,195,social_media,1,100
1,193,mobile_ads,0,0
1,184,context_ads,0,0
1,183,social_media,0,0
1,182,social_media,1,100
1,178,bloggers,0,0
1,177,bloggers,0,0
1,174,mobile_ads,1,10
1,171,mobile_ads,0,0
1,168,context_ads,1,10
1,241,mobile_ads,1,10
1,166,social_media,0,0
1,248,social_media,1,10
1,256,context_ads,1,50
1,298,bloggers,0,0
1,294,bloggers,1,10
1,293,context_ads,1,50
1,292,social_media,1,50
1,291,context_ads,0,0
1,290,bloggers,1,100
1,281,mobile_ads,0,0
1,280,social_media,1,100
1,276,mobile_ads,1,200
1,275,mobile_ads,1,50
1,273,bloggers,0,0
1,272,context_ads,0,0
1,271,context_ads,0,0
1,269,bloggers,0,0
1,262,context_ads,0,0
1,261,bloggers,1,10
1,259,bloggers,1,100
1,258,mobile_ads,1,100
1,257,social_media,0,0
1,250,social_media,1,50
1,164,mobile_ads,1,50
1,251,context_ads,0,0
1,156,social_media,0,0
1,88,context_ads,1,100
1,85,mobile_ads,1,200
1,81,bloggers,0,0
1,80,context_ads,0,0
1,79,bloggers,0,0
1,51,bloggers,1,100
1,47,context_ads,1,200
1,46,social_media,1,50
1,34,context_ads,0,0
1,32,mobile_ads,0,0
1,31,context_ads,1,200
1,28,mobile_ads,0,0
1,27,mobile_ads,0,0
1,25,mobile_ads,1,10
1,16,social_media,1,10
1,14,bloggers,1,10
1,9,context_ads,0,0
1,8,context_ads,1,100
1,160,bloggers,1,200
1,90,context_ads,1,10
1,93,social_media,1,100
1,43,social_media,1,10
1,130,bloggers,0,0
1,95,bloggers,1,200
1,142,social_media,0,0
1,141,social_media,1,200
1,140,social_media,1,200
1,139,social_media,0,0
1,132,bloggers,0,0
1,126,mobile_ads,1,10
1,124,context_ads,0,0
1,148,bloggers,0,0
1,117,bloggers,1,50
1,121,social_media,1,100
1,116,mobile_ads,1,100
1,115,context_ads,1,200
1,112,context_ads,1,100
1,110,context_ads,0,0
1,107,social_media,0,0
1,106,context_ads,1,50
1,105,bloggers,0,0
1,98,mobile_ads,1,110
1,96,mobile_ads,1,10
2,173,social_media,0,0
2,174,bloggers,0,0
2,168,mobile_ads,1,200
2,184,bloggers,0,0
2,124,bloggers,0,0
2,203,bloggers,0,0
2,210,mobile_ads,0,0
2,162,mobile_ads,0,0
2,216,mobile_ads,0,0
2,197,bloggers,1,50
2,159,mobile_ads,0,0
2,132,bloggers,1,10
2,155,mobile_ads,1,100
2,154,context_ads,0,0
2,151,context_ads,0,0
2,147,bloggers,1,10
2,146,social_media,1,100
2,143,bloggers,0,0
2,137,bloggers,0,0
2,135,bloggers,0,0
2,127,context_ads,1,50
2,219,bloggers,1,50
2,158,mobile_ads,1,10
2,221,mobile_ads,0,0
2,294,mobile_ads,0,0
2,225,context_ads,0,0
2,118,social_media,1,100
2,299,context_ads,0,0
2,295,mobile_ads,1,100
2,292,social_media,0,0
2,284,mobile_ads,0,0
2,282,bloggers,0,0
2,281,mobile_ads,1,100
2,276,bloggers,1,10
2,275,social_media,0,0
2,274,mobile_ads,0,0
2,222,context_ads,1,10
2,272,mobile_ads,1,200
2,261,social_media,0,0
2,259,mobile_ads,1,10
2,253,context_ads,1,200
2,252,context_ads,1,100
2,251,bloggers,1,10
2,241,mobile_ads,1,10
2,239,mobile_ads,1,50
2,237,social_media,1,50
2,235,mobile_ads,1,200
2,227,mobile_ads,0,0
2,271,social_media,1,200
2,117,social_media,1,210
2,189,mobile_ads,1,200
2,114,context_ads,1,50
2,48,mobile_ads,0,0
2,46,context_ads,1,50
2,45,bloggers,1,100
2,44,social_media,0,0
2,43,bloggers,0,0
2,42,mobile_ads,0,0
2,39,mobile_ads,0,0
2,34,social_media,1,200
2,32,context_ads,0,0
2,29,social_media,0,0
2,24,social_media,1,100
2,20,mobile_ads,0,0
2,19,bloggers,1,200
2,17,context_ads,1,10
2,16,context_ads,1,100
2,14,social_media,1,200
2,12,social_media,1,10
2,10,context_ads,1,200
2,9,social_media,1,100
2,8,mobile_ads,1,200
2,2,bloggers,1,100
2,1,context_ads,0,0
2,115,mobile_ads,1,100
2,50,social_media,0,0
2,51,social_media,0,0
2,3,bloggers,0,0
2,55,bloggers,0,0
2,54,bloggers,0,0
2,110,context_ads,0,0
2,102,social_media,1,50
2,100,mobile_ads,0,0
2,96,bloggers,0,0
2,95,context_ads,0,0
2,93,bloggers,1,200
2,91,mobile_ads,0,0
2,88,context_ads,0,0
2,85,social_media,1,50
2,84,bloggers,1,10
2,101,mobile_ads,0,0
2,81,mobile_ads,0,0
2,79,bloggers,1,100
2,75,mobile_ads,0,0
2,68,mobile_ads,1,100
2,67,mobile_ads,1,100
2,63,mobile_ads,1,200
2,61,mobile_ads,1,10
2,57,social_media,0,0
2,60,social_media,1,100
2,83,context_ads,1,100
2,58,social_media,1,50
3,183,bloggers,0,0
3,187,social_media,0,0
3,189,social_media,0,0
3,199,bloggers,0,0
3,195,bloggers,1,50
3,209,context_ads,0,0
3,211,social_media,1,10
3,191,social_media,0,0
3,182,bloggers,0,0
3,170,bloggers,1,100
